appid,name,price,developer,publisher,average_forever,median_forever,ccu,genres
2203310,軍靴をはいた猫 Soundtrack,,,,0,0,0,
2203380,Kingshunt Soundtrack,299.0,Vaki Games,A list Games,0,0,0,
2202920,Putinist Slayer Soundtrack,899.0,Bunker 22,Bunker 22,0,0,0,
2202970,Soulstone Survivors Soundtrack,299.0,Game Smithing Limited,,0,0,0,
2220700,Pair Of Stamps Soundtrack,90.0,Five Percents,Five Percents,0,0,0,
2220910,I Live Under Your House Soundtrack,89.0,SpoocleMacBoogle,SpoocleMacBoogle,0,0,0,
2220290,Pedro's Adventures in Spanish Soundtrack,,,,0,0,0,
2218730,This Way Madness Lies Soundtrack,499.0,Zeboyd Digital Entertainment LLC,Zeboyd Digital Entertainment LLC,0,0,0,
2218170,Floodland Soundtrack,799.0,Vile Monarch,Ravenscourt,0,0,0,
2217700,[SONOHIGURASHI SIDE] SONOHIGURASHI VS. TOUHOU UNIVERSE2 Soundtrack,199.0,青春18金魚,青春18金魚,0,0,0,
2217710,[TOUHOU SIDE] SONOHIGURASHI VS. TOUHOU UNIVERSE2 Soundtrack,299.0,青春18金魚,青春18金魚,0,0,0,
2217760,ITRP _ Volatile Vertex - Soundtrack,99.0,Unhexigion,Unhexigion,0,0,0,
2218040,Floppy Disks from Hell Soundtrack,199.0,BLJ Games,BLJ Games,0,0,0,
2217350,ITRP _ Gas Prison - Soundtrack,99.0,Unhexigion,Unhexigion,0,0,0,
2217360,Beers and Boomerangs Soundtrack,524.0,"Witty Platypus, Hannibal Sigfusson",Spelkollektivet,0,0,0,
2216760,Touhou: Fading Illusion Soundtrack,299.0,Indie Game Order,Indie Game Order,0,0,0,
2216480,Up & Away Soundtrack,,,,0,0,0,
2216530,Vengeful Guardian: Moonrider - Original Soundtrack,449.0,JoyMasher,The Arcade Crew,0,0,0,
2216610,We Who Are About To Die Support Pack (Art & Soundtrack),499.0,Jordy Lakiere,Jordy Lakiere,0,0,0,
2215860,One Wheel Guy Soundtrack,199.0,Drago Software,Drago Software,0,0,0,
2214980,The Detroit After Soundtrack,199.0,Emanuele Leoncilli,Elder Leaf Studio,0,0,0,
2215070,Tri6: Infinite Soundtrack,,,,0,0,0,
2214720,Once Upon a Jester Soundtrack,799.0,Bonte Avond,Crunching Koalas,0,0,0,
2214810,Space Cheetah Hyper Runner Soundtrack,499.0,"Matthew Milne, Oilskin",Matthew Milne,0,0,0,
2214290,GigaBash - Original Soundtrack,899.0,Passion Republic Games,Passion Republic Games,0,0,0,
2213630,The Eternal Cylinder Soundtrack,,,,0,0,0,
2213760,The Knight Witch Soundtrack,499.0,Super Mega Team,Team17,0,0,0,
2213320,Path of Ra Soundtrack,179.0,Oneiric Tales,Oneiric Tales,0,0,0,
2211830,Katyusha Soundtrack,399.0,Loresoft,Loresoft,0,0,0,
2202670,Stones Keeper Soundtrack,169.0,SK Team,Valkyrie Initiative,0,0,0,
2202060,Outshine Soundtrack,399.0,Fishing Cactus,Fishing Cactus,0,0,0,
2201610,Panic Porcupine Soundtrack,99.0,Lucky Lion Studios,Shiny Dolphin Games LLC,0,0,0,
2201740,Wintersdawn in the Deep Soundtrack,199.0,"Western Deep, LLC","Sunsgrove Studios, LLC",0,0,0,
2201900,Puzzledorf Soundtrack,659.0,Stuart's Pixel Games,,0,0,0,
2201080,Nadir Soundtrack,399.0,"Team Nadir, Black Eye Games",Black Eye Games,0,0,0,
2201480,Boo Party Soundtrack,299.0,OSC,OSC,0,0,0,
2199600,Bonding Ambivalence Soundtrack,299.0,Questions Factory,Questions Factory,0,0,0,
2199680,Friendly Fire Soundtrack,,,,0,0,0,
2199050,SKULL CHAINZ Soundtrack,299.0,Vav,,0,0,0,
2198450,The Great Gaias Soundtrack,699.0,"Horizon's End, Inc.","Horizon's End, Inc.",0,0,0,
2197300,Aswang Detective: The Case of New York Soundtrack,1499.0,Michael Richard Lannon,,0,0,0,
2196890,DEVIL DEVOUR ALIVE DX Original Soundtrack,499.0,"VIRTUA WORLDS, LLC","Broken Synth Recordings, LLC",0,0,0,
2196970,Frog Detective 3: Original Soundtrack,399.0,Dan Golding,,0,0,0,
2196200,Yukar From The Abyss Soundtrack,89.0,Alec Shea,LocaGames,0,0,0,
2195270,Lonesome Village OST,699.0,Majo Félix,Ogre Pixel,0,0,0,
2194280,FAITH - Official Soundtrack,499.0,Airdorf Games,New Blood Interactive,0,0,0,
2194320,Roboplant Soundtrack,299.0,Rebelpug,Rebelpug,0,0,0,
2194630,Terror of Hemasaurus Soundtrack,399.0,Loren Lemcke,,0,0,0,
2194210,Senli 307 Soundtrack,169.0,Tamazusa,Tamazusa,0,0,0,
2260880,台北大空襲 Raid on Taihoku Soundtrack,,,,0,0,0,
2259900,Grip on Reality Soundtrack,129.0,"Sean Marty, Raphael Marty",,0,0,0,
2259540,Hope - Soundtrack,79.0,Pedro Lima,Pedro Lima's Productions,0,0,0,
2259600,The Struggles Of Stefan Official Soundtrack,,,,0,0,0,
2258760,Sacred Earth - Alternative Soundtrack,599.0,"Sacred Star Team, MirageV",,0,0,0,
2258200,Sapu Soundtrack,199.0,Guara Studios,Guara Studios ,0,0,0,
2257480,Graze Counter GM Original Soundtrack,999.0,Bikkuri Software,"Henteko Doujin, Sanuk Inc.",0,0,0,
2254850,Len's Island Soundtrack,599.0,Flow Studio,Flow Studio,0,0,0,
2254260,Outmode Soundtrack,99.0,"Rockateer, Spaceinvader",,0,0,0,
2254280,Light & Shadow Soundtrack,,,,0,0,0,
2254500,Mecha Blade Soundtrack,499.0,Michael Richard Lannon,Michael Richard Lannon,0,0,0,
2252990,Aka Soundtrack,599.0,Cosmo Gatto,Neowiz,0,0,0,
2253190,Dear Monster Soundtrack,899.0,"Lovenuts, Y Press Games",Y Press Games,0,0,0,
2252460,Lady of Dreams Soundtrack,,,,0,0,0,
2228070,Kainga Soundtrack,499.0,"Somepoint Sound, Erik Rempen",Green Man Gaming Publishing ,0,0,0,
2227510,GrandMa Badass OST,,,,0,0,0,
2227670,Psychosis Teaser Soundtrack,424.0,Aaron Gilbert,Aaron Gilbert,0,0,0,
2226571,Please Be Happy - Original Soundtrack,449.0,Studio Élan,"Sekai Project, Studio Élan",0,0,0,Casual
2226170,东方梦无境 ～ Dreamland of Infinity Soundtrack,499.0,Purple猫 Studio,Purple猫 Studio,0,0,0,
2226270,Hell Runner Soundtrack,,,,0,0,0,
2225040,Gjallarhorn Soundtrack,499.0,"Horizon's End, Inc.","Horizon's End, Inc.",0,0,0,
2225050,Wonderputt Forever Soundtrack,399.0,Damp Gnat,"Rogue Games, Inc.",0,0,0,
2225400,For Goodness Sake Soundtrack,199.0,Belief Engine,Belief Engine,0,0,0,
2224410,Torii Soundtrack,,,,0,0,0,
2223690,Astronite Soundtrack,449.0,Dume Games Studio,JanduSoft,0,0,0,
2223210,Fiend Heart Concept Art and Soundtrack,999.0,RM120,RM120,0,0,0,"Action, Adventure, Free to Play, Indie"
2222760,Pitchfork Kingdom Soundtrack,99.0,Pyremonk,OddBall Interactive,0,0,0,
2222990,Graceward - Complete Edition Soundtrack,199.0,Thinking of Cremation?,Thinking of Cremation?,0,0,0,
2222360,Ship of Fools Original Soundtrack,499.0,Fika Productions,Team17,0,0,0,
2221200,Out of Bounds Soundtrack,89.0,Tobias Rusjan,Saibot Studios,0,0,0,
2221370,Frozen Flame - Soundtrack,,,,0,0,0,
2221410,Quantum Gravity Soundtrack,,,,0,0,0,
1728210,Starseed Soundtrack Free Ep 3,,,,0,0,0,
1727480,Zen: A Gay Sequel Soundtrack,159.0,bobcgames,Project Ensō,0,0,0,
1727830,OPUS: Echo of Starsong Original Soundtrack -Best Selection-,799.0,SIGONO INC.,SIGONO INC.,0,0,0,
1727330,Weapons Knight Soundtrack,324.0,MochaDev,,0,0,0,
1726490,"Warhammer 40,000: Battlesector Soundtrack",499.0,Black Lab Games,Slitherine Ltd.,0,0,0,
1726810,Psychonauts 2 Soundtrack Vol 1,999.0,Double Fine Productions,Xbox Game Studios,0,0,0,
1726840,Gone Viral - Soundtrack,299.0,Skullbot Games,,0,0,0,
1725670,Enionax Soundtrack,99.0,Pap'stache,Pap'stache,0,0,0,
1725700,Vampire Slave 1 Soundtrack,499.0,Y Press Games,Y Press Games,0,0,0,
1725760,Twelve Minutes - Original Soundtrack,799.0,Luis Antonio,Annapurna Interactive,0,0,0,
1725920,Welcome Back Soundtrack,99.0,Slider Games Studio,Slider Games Studio,0,0,0,
1724710,Abomi Nation Soundtrack,499.0,Orange Pylon Games,DANGEN Entertainment,0,0,0,
1723810,The Frosts: First Ones Soundtrack,199.0,Ivan Sukhanov,Ivan Sukhanov,0,0,0,
1723380,Last Village Soundtrack,179.0,AK Studio,AK Studio,0,0,0,
1722900,I Expect You To Die 2 Soundtrack,,,,0,0,0,
1722350,武林志（Wushu Chronicles） Soundtrack,199.0,JiangHu Studio,Snail Games,0,0,0,
1722540,PowerSlave (DOS Classic Edition) Soundtrack,,,,0,0,0,
1721920,Magnesium_173 Soundtrack,999.0,"Ian William Craig, Mark Graham Johnson, Marikat Software Corp",Marikat Software Corp,0,0,0,
1721500,Ambition: A Minuet in Power Soundtrack,999.0,Joy Manufacturing Co.,,0,0,0,
1721740,Ari's Journey Soundtrack,999.0,Mat Campbell,HackBerry Studio,0,0,0,
1721190,Balrog Soundtrack,999.0,Doodstormer Productions,Doodstormer Productions,0,0,0,
1720630,Dice Legacy Soundtrack,359.0,DESTINYbit,Ravenscourt,0,0,0,
1720640,AKUMA: Original Soundtrack,,,,0,0,0,
