appid,name,price,developer,publisher,average_forever,median_forever,ccu,genres
81015,Civilization V - Ancient World DLC ESRB,0.0,,,0,0,0,
81016,Civilization V - Ancient World DLC PEGI,0.0,,,0,0,0,
81017,Civilization V - Korea DLC ESRB,0.0,Firaxis Games,2K Games,0,0,0,
80885,Sims 3 Generations DLC Trailer,0.0,,,0,0,0,
80891,Ghostbusters Sanctum of Slime DLC Trailer,0.0,Behaviour,Atari,0,0,0,
80892,Ghostbusters Sanctum of Slime DLC PEGI Trailer,0.0,,,0,0,0,
80831,Civ V DLC - Denmark Trailer,0.0,,,0,0,0,
80832,Civ V DLC - Explorers Map Pack Trailer,0.0,,,0,0,0,
80854,PAM DLC Pack Trailer,0.0,Steel Monkeys,Meridian4,0,0,0,
80824,Civ V DLC Denmark Trailer,0.0,,,0,0,0,
80825,Civ V DLC Explorers Map Pack Trailer,0.0,Firaxis Games,2K Games,0,0,0,
80653,FNV DLC - Dead Money,0.0,,,0,0,0,
80654,FNV Dead Money - DLC,0.0,,,0,0,0,
80582,ShipSim Sigita DLC,0.0,VStep,Paradox Interactive,0,0,0,Simulation
80493,Civ V DLC,0.0,Firaxis Games,2K Games,0,0,0,
73181,Cities in Motion: Tokyo DLC,299.0,Colossal Order Ltd.,Paradox Interactive,0,0,0,Simulation
73182,Cities in Motion: Tokyo DLC,0.0,,,0,0,0,
80202,Denial DLC,299.0,Red Redemption,Red Redemption,0,0,0,"Strategy, Indie, Casual, Simulation"
80204,Migration DLC Windows,499.0,Red Redemption,Red Redemption,0,0,0,"Strategy, Indie, Casual, Simulation"
80205,Denial DLC Mac,0.0,,,0,0,0,
80206,Migration DLC Mac,0.0,,,0,0,0,
80222,Fate of the World dlc 0,0.0,,,0,0,0,
72906,Winter Voices: Secret of the Norns DLC,0.0,,,0,0,0,
73012,Cities In Motion - Design Classics DLC,399.0,Colossal Order Ltd.,Paradox Interactive,0,0,0,Simulation
73016,Cities In Motion - Design Classics DLC,0.0,,,0,0,0,
73017,Cities in Motion: Design Marvels DLC,0.0,,,0,0,0,
73038,Magicka: DLC,0.0,,,0,0,0,
73095,MAGICKA: MEGA VILLAIN ROBES DLC,199.0,Pieces Interactive,Paradox Interactive,0,0,0,"Action, RPG"
73096,MAGICKA: ASPIRING MUSICIAN ROBES DLC,199.0,Pieces Interactive,Paradox Interactive,0,0,0,"Action, RPG"
73097,MAGICKA: PECULIAR GADGETS ITEM PACK DLC ,199.0,Pieces Interactive,Paradox Interactive,0,0,0,"Action, RPG"
73098,MAGICKA: HEIRLOOMS ITEM PACK DLC ,199.0,Pieces Interactive,Paradox Interactive,0,0,0,"Action, RPG"
71275,Football Manager 2012 - Arsenal Club DLC,0.0,,,0,0,0,
72760,Fallout New Vegas: Lonesome Road DLC,499.0,Obsidian Entertainment,Bethesda Softworks,0,0,0,"Action, RPG"
72770,Fallout New Vegas Dead Money DLC PCR,0.0,,,0,0,0,
70617,Worms Ultimate Mayhem - Customization Pack DLC,299.0,Team17 Digital Ltd,Team17 Digital Ltd,0,0,0,Strategy
70631,Worms Crazy Golf - Carnival Course DLC,0.0,,,0,0,0,
67350,Mafia II - Vegas DLC,0.0,2K Czech,2K Games,0,0,0,Action Games
65920,Borderlands DLC: Claptrap’s New Robot Revolution,2999.0,Gearbox Software,2K,0,0,0,"Action, RPG"
65110,Demolition Company DLC,0.0,Giants Software,BigSims.com,0,0,0,Simulation
65210,Railworks 2 Granfield Branch Line DLC,0.0,,,0,0,0,
65211,RailWorks 2 Class 111 DLC,0.0,,,0,0,0,
65213,RailWorks 2 GR Class 120 DLC,0.0,,,0,0,0,
