appid,name,price,developer,publisher,average_forever,median_forever,ccu,genres
630250,Lost Cities Demo,0.0,BlueLine Game Studios,BlueLine Game Studios,0,0,1,"Casual, Indie, Strategy"
629260,BUTCHER Demo,0.0,Transhuman Design,Transhuman Design,0,0,1,"Violent, Gore, Action, Indie"
629390,Diorama Worlds Demo,0.0,V.A.R. Studios,V.A.R.Studios,0,0,0,"Casual, Indie, Simulation"
629510,Arctic Adventure: Episodes Demo,0.0,L1gh7 (BriJee),L1gh7 (BriJee),0,0,1,"Action, Adventure, Free to Play"
629610,The Legacy Games Demo,0.0,Red Rock Softworks,Red Rock Softworks,0,0,0,"Indie, RPG, Strategy"
628680,Hellpoint Demo,0.0,Cradle Games,Cradle Games,0,0,1,"Violent, Action, Adventure, Free to Play, Indie, RPG"
628440,Multiplayer FPS Tutorial Demo,0.0,Vitor Pêgas,Oryzhon Studios,4,4,0,"Action, Casual, Free to Play, Indie"
627990,Schlocks Demo,0.0,Fancy Bear Games,Fancy Bear Games,0,0,0,"Casual, Indie, Simulation"
627610,Get To The Orange Door Demo,0.0,Andrew Smith,Arcade Coin,0,0,4,"Action, Adventure, Free to Play"
627340,Rescue Quest Gold Demo,0.0,Boomzap Entertainment,Boomzap Entertainment,0,0,0,Casual
626590,The Hurricane of the Varstray -Collateral hazard- Demo,0.0,Studio SiestA,"Rocket-Engine Co.,Ltd.",0,0,0,"Action, Indie"
626670,Lost Lands: The Wanderer Demo,0.0,FIVE-BN GAMES,FIVE-BN GAMES,0,0,1,"Adventure, Casual"
626230,Ramify Demo,0.0,Create Something Interesting LLC,Create Something Interesting LLC,0,0,0,"Casual, Indie"
625750,Twist of Destiny Demo,0.0,Oneshark,Oneshark,0,0,0,"Adventure, Indie, RPG"
626000,Welcome to Moreytown Demo,0.0,Choice of Games,Choice of Games,0,0,0,"Adventure, Indie, RPG"
625210,MMM: Murder Most Misfortunate Demo,0.0,Foolish Mortals Games,Foolish Mortals Games,0,0,0,"Adventure, Casual, Indie"
625260,Manipulated Demo,0.0,Wolfray Entertainment,Wolfray Entertainment,0,0,0,Indie
625290,AVOlight.Space (Multi-Screen Media Player) Demo,0.0,AVOlight,AVOlight,0,0,0,Utilities
625390,Invicta Beam Demo,0.0,GameBubble06,GameBubble06,0,0,0,"Action, Indie"
625440,Inner Voices Demo,0.0,Sigma games,Fat Dog Games,0,0,0,"Adventure, Indie"
625570,Nadia Was Here Demo,0.0,Jajaben Games,Indietopia Games ,0,0,0,"Indie, RPG"
